OPL SKU,Qty.,Parts
3470080P1,1,J2
3470080P1,1,J3
3470080P1,1,J4
3470080P1,1,J5
3470080P1,1,J6
3470080P1,1,J7
3470080P1,1,J8
3470080P1,1,J9
3470080P1,1,J10
3470080P1,1,J11
3470110P1,1,J12
3470130P1,1,TX/RX
3470130P1,1,D2/D3
3470130P1,1,A3/A2
3470130P1,1,SDA/SCL
0500290P1,1,X1
0100620P1,1,C1
0100620P1,1,C5
0010170P1,1,R2
0010430P1,1,R1
0130120P1,1,C6
0130120P1,1,C7
0100020P1,1,C2
0330020P1,1,D1
3460650P1,1,J1
1030060P1,1,U1
1300040P1,1,U2
0330060P1,1,D13
0010430P1,1,R13
3100060P1,1,BT_RESET
